User_ID;Respected;Confident;Spontaneous;Dependent;Vigilant;Avoidant;Brooding;Intuitive;Anxious;Respected%;Confident%;Spontaneous%;Dependent%;Vigilant%;Avoidant%;Brooding%;Intuitive%;Anxious%;ds_1;ds_2;ds_3;ds_4;ds4R;ds_5;ds_6;ds_7;ds_8;ds8R;ds_9;ds_10;ds_11;ds_12;ds_13;ds_14;ds_15;ds_16;ds_17;ds_18;ds_19;ds_20;ds20R;ds_21;ds_22;ds_23;ds_24;ds_25;ds_26;ds_27;ds_28;ds_29;ds_30;ds_31;ds_32;ds_33;ds_34;ds_35;ds_36;ds_37;ds_38;ds_39;ds_40;ds_41;ds_42;ds_43
Part11;8;16;9;25;27;15;15;16;18;80;64;45;83,3333333333333;90;60;60;64;72;2;5;3;3;3;4;3;5;3;3;4;4;4;3;5;4;3;4;4;3;4;2;4;3;3;4;4;3;3;3;2;5;2;3;2;3;3;3;3;4;4;4;3;4;4;3
Part12;8;19;8;20;29;16;17;15;18;80;76;40;66,6666666666667;96,6666666666667;64;68;60;72;2;5;4;2;4;4;3;5;2;4;4;4;3;2;5;3;2;4;5;4;5;3;3;3;5;3;4;2;3;4;2;5;2;5;2;4;3;4;2;4;4;2;4;2;4;2
Part14;7;12;9;22;22;15;12;17;13;70;48;45;73,3333333333333;73,3333333333333;60;48;68;52;2;3;4;4;2;3;2;4;3;3;4;4;4;3;4;4;3;3;4;2;3;2;4;3;2;4;3;3;2;2;2;4;2;3;2;1;2;3;4;4;3;4;3;3;2;3
Part15;8;21;11;22;22;14;11;20;13;80;84;55;73,3333333333333;73,3333333333333;56;44;80;52;3;4;4;1;5;4;4;3;1;5;2;4;4;2;4;3;3;4;4;1;3;2;4;3;2;4;3;2;2;3;3;4;2;3;3;1;2;4;4;4;4;4;4;3;4;4
Part16;8;22;9;22;29;6;18;23;13;80;88;45;73,3333333333333;96,6666666666667;24;72;92;52;2;5;2;2;4;3;4;5;1;5;2;4;4;1;5;3;1;4;5;3;5;2;4;1;1;4;2;5;3;5;1;4;3;4;1;4;3;5;5;4;4;4;5;4;3;4
Part17;5;19;10;17;23;9;15;15;13;50;76;50;56,6666666666667;76,6666666666667;36;60;60;52;3;4;2;2;4;3;4;4;2;4;3;3;4;1;4;2;2;4;4;3;4;2;4;2;2;3;2;2;3;3;3;3;2;4;2;2;3;3;3;3;2;4;3;2;2;2
Part18;7;21;11;12;29;9;19;14;13;70;84;55;40;96,6666666666667;36;76;56;52;2;5;2;2;4;2;4;5;2;4;5;4;4;2;5;2;1;5;5;4;5;4;2;2;2;2;2;4;2;4;2;2;2;5;3;5;2;4;2;4;3;3;2;2;2;2
Part20;8;16;10;15;21;11;14;18;13;80;64;50;50;70;44;56;72;52;3;4;3;2;4;3;4;4;2;4;2;4;4;2;4;3;2;4;4;2;2;4;2;2;2;2;2;2;4;;3;3;2;2;2;4;3;4;2;3;4;4;4;2;2;4
Part21;8;24;9;18;29;7;14;23;11;80;96;45;60;96,6666666666667;28;56;92;44;2;5;2;1;5;4;4;5;1;5;2;4;5;2;5;2;1;5;5;2;5;3;3;;2;3;2;3;2;5;2;3;1;4;2;2;2;5;3;4;4;5;5;3;3;5
Part22;6;18;8;23;25;17;19;19;22;60;72;40;76,6666666666667;83,3333333333333;68;76;76;88;2;4;4;2;4;5;3;4;2;4;4;3;4;4;4;3;2;4;5;3;5;2;4;4;3;3;5;2;5;3;2;4;4;4;2;4;4;4;3;3;3;4;4;4;4;4
Part23;6;18;9;18;24;9;12;13;10;60;72;45;60;80;36;48;52;40;2;4;2;2;4;3;3;4;2;4;1;3;2;3;4;2;1;4;4;1;4;2;4;2;1;3;2;3;2;3;2;3;2;4;2;4;2;3;3;4;3;1;3;3;3;2
Part24;8;13;11;26;22;17;18;15;19;80;52;55;86,6666666666667;73,3333333333333;68;72;60;76;3;4;4;4;2;4;3;3;4;2;4;4;3;3;4;5;4;3;3;3;4;2;4;3;3;4;3;3;4;3;3;5;3;4;2;5;4;4;2;4;4;3;3;4;4;3
Part25;8;18;13;23;25;7;16;17;14;80;72;65;76,6666666666667;83,3333333333333;28;64;68;56;4;4;2;3;3;4;4;5;3;3;3;4;5;1;4;3;1;4;4;3;4;2;4;1;2;4;2;3;3;4;3;5;3;4;3;2;3;3;3;4;4;4;3;3;3;3
Part26;6;14;8;24;28;17;20;18;20;60;56;40;80;93,3333333333333;68;80;72;80;3;5;3;4;2;4;2;5;3;3;5;3;4;4;4;3;3;4;5;4;5;2;4;4;3;4;4;2;4;3;2;4;3;5;1;4;4;4;2;4;3;4;4;5;3;4
Part27;6;11;10;29;21;19;20;17;22;60;44;50;96,6666666666667;70;76;80;68;88;3;2;4;4;2;5;2;3;3;3;5;3;4;4;4;5;3;3;4;4;4;2;4;4;4;5;5;2;4;1;2;5;4;4;3;4;5;4;2;4;3;4;4;5;3;3
Part28;5;17;11;24;26;9;19;20;9;50;68;55;80;86,6666666666667;36;76;80;36;4;5;3;3;3;4;4;4;3;3;3;2;5;2;4;4;1;4;5;5;4;2;4;2;1;4;1;2;2;3;4;4;3;3;1;3;2;4;3;4;3;5;4;4;1;4
Part29;8;19;13;26;24;15;16;18;18;80;76;65;86,6666666666667;80;60;64;72;72;4;4;3;2;4;4;4;5;2;4;3;4;3;3;3;5;3;4;4;3;4;2;4;3;3;4;3;3;4;3;3;5;3;3;3;3;3;4;4;4;4;4;4;4;5;3
Part30;4;15;11;21;24;20;17;19;17;40;60;55;70;80;80;68;76;68;3;4;5;3;3;3;2;5;2;4;4;2;4;4;5;3;3;3;4;2;4;2;4;4;4;4;3;2;3;3;4;4;4;4;2;5;3;4;4;2;2;2;3;3;4;4
Part31;8;14;8;22;25;11;11;15;17;80;56;40;73,3333333333333;83,3333333333333;44;44;60;68;2;3;3;4;2;3;2;4;4;2;3;4;3;2;4;2;2;4;5;1;4;1;5;2;2;5;3;2;4;4;3;3;2;2;1;1;2;2;3;5;4;5;5;4;5;2
Part32;5;21;8;24;27;17;16;19;10;50;84;40;80;90;68;64;76;40;2;5;3;1;5;4;4;4;1;5;3;3;3;4;5;4;3;4;4;4;5;2;4;4;3;3;2;1;1;3;2;5;2;3;3;3;2;4;3;4;2;4;5;4;2;4
Part33;6;14;11;30;22;13;14;15;12;60;56;55;100;73,3333333333333;52;56;60;48;4;4;3;4;2;5;3;4;2;4;4;3;3;3;4;5;1;3;4;2;3;1;5;3;3;5;3;3;1;2;2;5;3;3;2;2;2;3;3;3;3;4;4;5;2;2
Part34;7;19;12;23;22;19;15;21;13;70;76;60;76,6666666666667;73,3333333333333;76;60;84;52;3;5;4;2;4;3;3;2;2;4;2;3;4;4;4;3;5;4;3;1;5;1;5;4;2;3;3;4;1;4;3;4;2;3;2;4;3;4;4;3;4;5;5;5;4;4
Part35;8;22;14;20;27;7;9;23;10;80;88;70;66,6666666666667;90;28;36;92;40;4;4;2;2;4;5;5;4;1;5;2;4;4;2;5;3;1;5;5;1;5;3;3;1;1;4;2;4;2;3;4;3;1;4;2;1;2;5;4;4;4;2;5;2;2;5
Part36;6;21;10;18;25;9;15;14;10;60;84;50;60;83,3333333333333;36;60;56;40;2;4;2;2;4;4;4;4;2;4;3;3;3;1;4;3;2;5;5;2;4;3;3;2;2;3;2;3;1;4;3;3;2;4;2;3;2;3;2;4;3;4;3;2;2;3
Part37;7;19;11;19;22;9;12;14;11;70;76;55;63,3333333333333;73,3333333333333;36;48;56;44;3;2;2;1;5;3;3;4;2;4;3;4;4;2;4;2;1;4;4;2;4;2;4;2;2;4;2;3;2;3;3;3;2;4;2;2;2;3;2;4;3;2;3;3;2;2
Part38;8;16;8;22;26;18;16;17;18;80;64;40;73,3333333333333;86,6666666666667;72;64;68;72;2;4;4;3;3;3;3;5;2;4;3;4;4;4;5;3;2;4;4;2;4;2;4;4;4;4;4;2;4;2;2;4;3;4;2;3;3;3;4;4;4;4;3;4;4;3
Part39;5;8;16;29;19;19;17;17;22;50;32;80;96,6666666666667;63,3333333333333;76;68;68;88;4;4;4;5;1;4;2;4;4;2;5;3;5;4;3;5;2;2;3;2;3;1;5;5;4;5;4;4;5;1;4;5;3;4;4;5;4;3;3;2;2;3;3;5;4;3
Part40;8;18;13;20;22;13;17;20;16;80;72;65;66,6666666666667;73,3333333333333;52;68;80;64;3;4;4;3;3;3;4;4;3;3;4;4;4;3;3;3;2;4;4;4;4;3;3;2;2;4;3;4;3;4;3;4;3;3;3;3;3;4;4;3;4;4;4;3;3;4
Part41;8;21;9;22;25;10;11;16;9;80;84;45;73,3333333333333;83,3333333333333;40;44;64;36;2;4;2;1;5;3;4;5;2;4;3;4;4;2;4;3;2;4;4;2;4;2;4;2;2;4;2;3;1;4;2;4;1;3;2;2;2;3;2;4;4;3;4;4;1;3
Part42;8;21;5;20;29;11;14;17;13;80;84;25;66,6666666666667;96,6666666666667;44;56;68;52;1;5;3;2;4;4;4;5;2;4;2;4;3;2;5;3;2;5;4;2;5;2;4;2;2;3;2;2;3;4;1;3;2;5;1;2;3;3;4;5;4;3;4;3;3;3
;;;;;;;;;;;;;;;;;;59,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
